CarID,Brand,Model,Price,Year,Miles,Gear,Fuel,Color,InteriorColor,Drive,Power,Weight,NumberofSeats,Body,NumberofDoors,TaxClass,NextEUInspectionDate,CylinderVolume,Sold
296110739,BMW,5-serie,999000,2022,17200,Automat,Diesel,Black,Eksklusivskinn 'Nappa' Ivory White/ kontrastsøm Black,Firehjulsdrift,286,2107,5,Stasjonsvogn,5,Personbil,01.03.2026,3,False
296838282,BMW,3-serie,428000,2020,41500,Automat,El + Bensin,White,Alcantara/Sensatec combination Black/contrast stitching Blue (BK),Bakhjulsdrift,292,1770,5,Sedan,4,Personbil,16.01.2024,2,False
294534727,BMW,5-serie,171777,2010,230000,Automat,Diesel,Grå,Svart,Bakhjulsdrift,204,1770,5,Stasjonsvogn,6,Personbil,03.07.2024,3,False
296265132,BMW,3-serie,59900,2008,252000,Automat,Diesel,Grå,Grå,Bakhjulsdrift,163,1595,5,Stasjonsvogn,4,Personbil,14.03.2025,2,False
292062084,BMW,5-serie,39777,2007,213330,Automat,Bensin,Grå,sort,Bakhjulsdrift,210,1525,5,Sedan,2,Personbil,31.05.2023,2,False
283601074,BMW,4-serie,393034,2015,93000,Automat,Diesel,Sølv,Sort skinn,Firehjulsdrift,258,1675,5,Coupe,4,Personbil,29.05.2023,3,False
297168742,BMW,3-serie,199147,2013,127000,Manuell,Diesel,Black,Hexagon/Alcantara/Antracit,Bakhjulsdrift,116,1475,5,Stasjonsvogn,7,Personbil,20.02.2024,2,False
297770790,BMW,3-serie,234777,1989,85000,Automat,Bensin,Black,Grå,Bakhjulsdrift,129,1210,5,Coupe,4,Personbil,18.10.2024,2,False
296115090,BMW,3-serie,241000,2015,143000,Manuell,Bensin,Blå,Sort Stoff.,Firehjulsdrift,184,1600,5,Stasjonsvogn,5,Personbil,18.05.2023,2,False
259828494,BMW,3-serie,336681,2019,115500,Automat,Diesel,White,Svart,Firehjulsdrift,190,1650,5,Stasjonsvogn,5,Personbil,01.02.2025,2,False
296263111,BMW,3-serie,319000,2013,42500,Automat,Bensin,Beige,Sort,Bakhjulsdrift,306,1750,5,Sedan,4,Personbil,23.11.2023,3,False
295283359,BMW,3-serie,230000,2012,150000,Automat,Bensin,Blå,brunt skinn,Bakhjulsdrift,245,1455,5,Sedan,4,Personbil,16.03.2025,2,False
296140793,BMW,3-serie,74999,2009,255000,Manuell,Diesel,Black,Svart,Bakhjulsdrift,143,1580,5,Stasjonsvogn,5,Personbil,30.09.2024,2,False
297301878,BMW,3-serie,89999,2003,289000,Manuell,Diesel,Blå,Grått skinn,Bakhjulsdrift,204,1615,5,Stasjonsvogn,4,Personbil,13.05.2024,3,False
294863533,BMW,3-serie,219000,2012,140100,Automat,Diesel,Blå,Sort skinn,Bakhjulsdrift,163,1575,5,Stasjonsvogn,5,Personbil,29.07.2024,2,False
270705122,BMW,3-serie,179000,2008,95000,Automat,Bensin,Sølv,Rødt skinninteriør,Bakhjulsdrift,170,1625,4,Cabriolet,2,Personbil,30.06.2024,2,False
294662667,BMW,5-serie,254147,2014,136000,Automat,Diesel,Grå,Sort skinn,Firehjulsdrift,184,1840,5,Stasjonsvogn,5,Personbil,27.11.2023,2,False
296757638,BMW,4-serie,699000,2022,7000,Automat,Diesel,Grønn,Svart Vernasca Skinn,Firehjulsdrift,190,1760,5,Kombi 5-dørs,5,Personbil,28.09.2026,2,False
296643143,BMW,5-serie,469000,2020,34692,Automat,El + Bensin,Black,Leather Dakota/black/Exclusive seam,Firehjulsdrift,292,1895,5,Sedan,5,Personbil,09.01.2024,2,False
296087813,BMW,5-serie,699000,2021,29000,Automat,El + Bensin,Black,sort,Firehjulsdrift,292,1960,5,Stasjonsvogn,5,Personbil,26.11.2024,2,False
293202259,BMW,7-serie,221777,2011,107000,Automat,Bensin,Grå,Sort skinn,Bakhjulsdrift,408,1945,5,Sedan,5,Personbil,07.09.2023,4,False
293332296,BMW,5-serie,329000,2018,73000,Automat,El + Bensin,Blå,Sort,Bakhjulsdrift,297,1850,5,Sedan,4,Personbil,02.12.2022,2,False
291652242,BMW,3-serie,585000,2022,21000,Automat,El + Bensin,Black,Sort Alcantara,Firehjulsdrift,292,1890,5,Stasjonsvogn,5,Personbil,14.02.2026,2,False
296091855,BMW,3-serie GT,299000,2016,99750,Automat,Diesel,Sølv,Skinn Sort,Firehjulsdrift,190,1535,5,Kombi 5-dørs,5,Personbil,27.05.2023,2,False
296697278,BMW,5-serie,309147,2014,152600,Automat,Diesel,Grå,Sort skinn,Firehjulsdrift,313,1840,5,Sedan,4,Personbil,31.03.2024,3,False
291330635,BMW,5-serie,515000,2020,39500,Automat,El + Bensin,Blå,Sort Dakotaskinn,Firehjulsdrift,292,1860,5,Sedan,4,Personbil,08.01.2024,2,False
295619599,BMW,7-serie,89977,2003,210093,Automat,Diesel,Blå,Vollender Club Creambeige (U7GE),Bakhjulsdrift,260,1900,5,Sedan,4,Personbil,09.03.2025,3,False
296697840,BMW,3-serie,71777,2007,227000,Manuell,Diesel,Black,Sort skinn,Bakhjulsdrift,163,1505,5,Stasjonsvogn,6,Personbil,02.02.2025,2,False
