 
CarID,Brand,Model,Price,Year,Miles,Gear,Fuel,Color,InteriorColor,Drive,Power,Weight,NumberofSeats,Body,NumberofDoors,TaxClass,NextEUInspectionDate,CylinderVolume,Sold
296110739,BMW,5-serie,999000,2022,17200,Automat,Diesel,Black,Eksklusivskinn 'Nappa' Ivory White/ kontrastsøm Black,Firehjulsdrift,286,2107kg,5,Stasjonsvogn,5,Personbil,01.03.2026,3l,False
291076855,BMW,5-serie,99890,2009,253000,Automat,Diesel,Black,SORT,Firehjulsdrift,197,1780kg,5,Stasjonsvogn,5,Personbil,3l,,False
293392804,BMW,5-serie,151777,2011,280000,Automat,Diesel,Black,Bakhjulsdrift,204,1770kg,5,Stasjonsvogn,5,6,Personbil,25.01.2025,3l,False
156705111,BMW,5-serie,20000,2004,267000,Automat,Bensin,Grå,sort,Bakhjulsdrift,170,1500kg,5,Sedan,4,Personbil,"2,2l",,False
296987712,BMW,3-serie,299000,2017,67000,Automat,Diesel,Sølv,Stoff / lær Bris / antrasitt,Firehjulsdrift,190,1660kg,5,Sedan,5,Personbil,2l,,False
296641115,BMW,5-serie,98000,2008,178100,Automat,Diesel,Grå,Bakhjulsdrift,163,1695kg,5,Stasjonsvogn,5,Personbil,2l,,,False
297505195,BMW,3-serie,76777,2001,235471,Automat,Diesel,Sølv,Bakhjulsdrift,184,1625kg,5,Stasjonsvogn,5,5,Personbil,30.11.2023,"2,9l",False
297519312,BMW,5-serie,259000,2015,142700,Automat,Diesel,Grå,Firehjulsdrift,163,1840kg,5,Stasjonsvogn,5,Personbil,2l,,,False
294247950,BMW,3-serie,26777,2007,200000,Manuell,Bensin,Grå,Bakhjulsdrift,129,1430kg,5,Stasjonsvogn,5,3,Personbil,2l,,False
297335668,BMW,5-serie,219900,2014,144519,Automat,Diesel,White,Firehjulsdrift,184,1840kg,5,Stasjonsvogn,5,Personbil,09.08.2024,2l,,False
296043769,BMW,5-serie,488000,2020,48590,Automat,El + Bensin,Blå,Firehjulsdrift,252,1860kg,5,Sedan,4,1,Personbil,14.07.2024,2l,False
298023823,BMW,3-serie,339990,2008,94000,Automat,Bensin,White,Bakhjulsdrift,306,1540kg,4,Coupe,2,Personbil,3l,,,False
